Id,artist_id,album_id,album_release_date,name,disc_number,duration_ms,explicit,popularity,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
40v4aJxOjchuKJfSunsmeS,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Bobby,1,166520,False,33,1,0.571,0.833,11,-4.75,0,0.192,0.101,0,0.38,0.402,85.044,4
6GxrIkbqatMlIJEwgw4Jaw,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Dogma 93,1,140053,True,30,2,0.559,0.693,6,-6.753,0,0.339,0.12,0,0.173,0.343,139.875,4
42elYXFLbYbiF4t5YCK4PU,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Non siamo niente - feat. Gaia,1,176640,False,33,3,0.572,0.795,11,-5.869,0,0.347,0.0938,0,0.475,0.262,94.866,4
3vGjy6N2BmTQvPcNmUasD6,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Mondo sommerso (feat. Holden),1,200946,False,38,4,0.642,0.764,8,-4.156,1,0.0587,0.0488,0,0.31,0.7,138.168,4
6dRnzyVX5bq6yQgzOxmlgj,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Hikikomori,1,84000,True,35,5,0.699,0.568,2,-8.802,0,0.176,0.157,3.23e-05,0.41,0.329,129.152,4
59377holA4yZy3BHHmShDr,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Jones Town,1,207053,True,29,6,0.407,0.8,7,-6.614,0,0.356,0.0278,0,0.113,0.293,148.529,4
6iYcUnvZ30dvLE1C6Lat94,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Il nulla senza fine,1,150533,False,28,7,0.541,0.731,8,-4.95,0,0.277,0.0136,0,0.351,0.373,91.282,4
703XYis7uydrwBjO0O281k,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,Se fossi in te - feat. Erika Lei,1,170120,True,28,8,0.724,0.825,2,-6.538,1,0.105,0.00307,0.0001,0.0957,0.581,110.024,4
3Wr9Jhy70e6qXXThr3Nptd,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,La ragazza nello specchio - feat. Luna,1,187053,True,46,9,0.551,0.931,5,-5.272,1,0.247,0.0235,0,0.095,0.491,86.954,4
7BMGc83bXU9ThTYdCicnrE,5tBnK7LvBMgvkXuePtfywp,6Pnzp5claqgLlPA5R71lZm,2020-03-20,La mia parte migliore,1,172346,False,29,10,0.49,0.764,7,-6.589,1,0.333,0.0935,0,0.434,0.437,105.472,5
