Id,Name,Popularity,Followers,Generes
2iK8weavvfS2xJCmzNzNE5,J-AX,66,1761003,"italian adult pop,italian hip hop,italian pop"
0vZAzVAFQL1gKLBPfnXMaS,Jack The Smoker,57,79387,"italian hip hop,italian underground hip hop"
6JFRI91YaCXREGQYzHSnUH,Jake La Furia,69,366545,"italian hip hop,italian pop"
1BvLhDkql2F6d4G5aaajY2,Jamil,57,133630,italian hip hop
3IunaFjvNKj98JW89JYv9u,The Japanese House,64,463287,"electropop,indie pop,indie poptimism,indietronica,modern dream pop,vapor soul"
3zkAFoqRMvc1ZWjW65XOO8,Jesto,50,161080,
7tmMPdOmFvdRvbj2aWoiRi,Jovanotti,66,1953539,"classic italian pop,italian adult pop,italian pop"
215ciYy7TIYnGRim0I1nJ3,JUNIOR CALLY,52,356156,italian hip hop
1RFdjZ9IJTz0g3QmbV3kUh,Kaos One,29,4378,
3syqfb0GkvvMTS5sq0ugMd,Kento,20,3587,
0pSx3asj3usz5PRt8COo0E,Ketama126,63,201050,"emo rap italiano,italian hip hop,italian indie pop,trap italiana"
6x5XjmZrAIfZfuRbXXeBEg,Kiave,27,18059,"italian hip hop,italian underground hip hop,rap napoletano"
4rYRulP5rzQM1rzPXkW4Um,La Pina,34,5245,
0fjCrtgHKm4tB67V4GQKod,Ruemel Marquis,17,16,
4RrtqH6egYYBfJrnLkhINz,Laïoung,47,230147,italian hip hop
2AtGepWdw4TVBnE8cBszuL,Lanz Khan,40,11962,"italian hip hop,italian underground hip hop"
0lI3rF4hi4op6UxqlLHPzv,Achille Lauro,70,658015,"italian hip hop,italian indie pop,italian pop"
0jdNdfi4vAuVi7a6cPDFBM,Lazza,72,635561,"italian hip hop,trap italiana"
187qoiisjzqvj3wsBWLotr,Leftside,53,9906,basshall
3yGA8yyowtKVXgNIXguMfz,Lele Blade,60,128846,"italian hip hop,rap napoletano"
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,74,2259413,"adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,soul,swing,vocal jazz"
